"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
737.782	"recently_learned_faces_correct_combination"	1	"left"	0.768	2.507	"recently_learned_faces"	740.264	738.55
741.309	"famous_faces_correct_combination"	1	"left"	0.851	2.524	"famous_faces"	743.803	742.16
744.853	"recently_learned_faces_correct_combination"	1	"left"	0.995	2.507	"recently_learned_faces"	747.341	745.848
748.196	"recently_learned_faces_false_combination"	1	"right"	1.372	2.508	"recently_learned_faces"	750.678	749.568
751.623	"recently_learned_faces_baseline"	1	"right"	0.826	2.508	"recently_learned_faces_baseline"	754.116	752.449
755.267	"recently_learned_faces_correct_combination"	1	"left"	1.076	2.508	"recently_learned_faces"	757.755	756.343
758.711	"recently_learned_faces_false_combination"	1	"right"	1	2.507	"recently_learned_faces"	761.193	759.711
762.288	"recently_learned_faces_correct_combination"	1	"left"	1.027	2.524	"recently_learned_faces"	764.782	763.315
767.788	"recently_learned_faces_baseline"	1	"right"	0.801	2.507	"recently_learned_faces_baseline"	770.271	768.589
771.332	"famous_faces_false_combination"	1	"right"	0.794	2.507	"famous_faces"	773.81	772.126
774.709	"famous_faces_correct_combination"	1	"left"	1.105	2.507	"famous_faces"	777.198	775.814
778.353	"recently_learned_faces_false_combination"	1	"right"	1.429	2.507	"recently_learned_faces"	780.837	779.782
781.897	"famous_faces_baseline"	1	"left"	0.913	2.507	"famous_faces_baseline"	784.375	782.81
785.223	"famous_faces_correct_combination"	1	"left"	0.85	2.508	"famous_faces"	787.712	786.073
788.767	"famous_faces_correct_combination"	1	"left"	0.716	2.508	"famous_faces"	791.251	789.483
792.161	"famous_faces_correct_combination"	1	"left"	0.682	2.507	"famous_faces"	794.639	792.843
